Time,FPS,RTT,LoadRatio,Jitter,LossRate
5.08,42.03,89.98,1.00,2.35,0.0007
5.12,40.38,83.03,1.00,0.42,0.0003
5.16,38.76,76.88,1.00,1.59,0.0001
5.20,37.27,71.25,1.00,0.53,0.0009
5.24,36.20,66.61,1.00,4.87,0.0007
5.28,34.87,61.97,1.00,0.21,0.0005
5.32,33.98,58.20,1.00,4.23,0.0001
5.36,33.14,54.70,1.00,3.19,0.0009
5.40,32.08,51.50,1.00,2.78,0.0003
5.44,31.31,48.38,1.00,0.31,0.0002
5.49,30.15,45.80,1.00,2.49,0.0005
5.54,29.41,43.47,1.00,2.59,0.0008
5.58,28.91,41.55,1.00,4.24,0.0003
5.62,28.38,39.87,1.00,4.75,0.0010
5.66,27.81,38.30,1.00,4.17,0.0001
5.71,27.28,36.49,1.00,0.15,0.0004
5.75,26.92,35.24,1.00,4.08,0.0004
5.80,26.38,33.76,1.00,0.40,0.0007
5.84,25.97,32.68,1.00,2.91,0.0002
5.88,25.83,31.84,1.00,4.33,0.0007
5.93,25.39,30.97,1.00,3.16,0.0004
5.97,25.19,30.01,1.00,1.35,0.0003
6.01,25.19,29.41,1.00,4.04,0.0009
6.05,25.16,28.51,1.00,0.34,0.0000
6.09,25.13,28.11,1.00,4.58,0.0008
6.14,24.69,27.49,1.00,1.84,0.0001
6.18,24.62,26.83,1.00,0.93,0.0001
6.22,24.76,26.25,1.00,1.04,0.0000
6.26,24.83,26.04,1.00,4.18,0.0003
6.30,24.84,25.70,1.00,2.57,0.0001
6.35,24.36,25.27,1.00,1.41,0.0010
6.39,24.61,25.15,1.00,4.05,0.0005
6.43,24.75,25.06,1.00,4.29,0.0006
6.47,24.74,24.58,1.00,0.24,0.0005
6.50,24.91,24.58,1.00,4.61,0.0008
6.55,24.77,24.46,1.00,3.35,0.0004
6.59,24.75,24.25,1.00,2.35,0.0003
6.63,24.71,24.05,1.00,2.30,0.0005
6.67,24.64,24.09,1.00,4.44,0.0002
6.71,24.83,23.81,1.00,1.26,0.0004
6.75,24.53,23.69,1.00,2.58,0.0006
6.79,24.54,23.79,1.00,4.74,0.0010
6.84,24.53,23.64,1.00,2.26,0.0004
6.87,24.77,23.41,1.00,1.32,0.0009
6.91,24.69,23.16,1.00,0.98,0.0001
6.96,24.33,23.09,1.00,2.46,0.0004
7.00,24.45,23.08,1.00,2.99,0.0003
7.04,24.31,22.79,1.00,0.17,0.0005
7.09,24.23,22.85,1.00,3.35,0.0007
7.13,24.44,22.81,1.00,2.43,0.0005
7.17,24.05,22.88,1.00,3.56,0.0008
7.21,24.10,22.75,1.00,1.56,0.0003
7.26,24.06,22.82,1.00,3.44,0.0009
7.30,24.20,22.98,1.00,4.42,0.0009
7.33,24.41,22.80,1.00,1.18,0.0009
7.38,24.09,22.66,1.00,1.42,0.0004
7.42,24.26,22.69,1.00,2.93,0.0004
7.46,24.43,22.81,1.00,3.91,0.0008
7.51,24.01,22.69,1.00,1.56,0.0000
7.55,23.80,22.73,1.00,3.13,0.0005
7.61,23.25,22.80,1.00,3.42,0.0006
7.65,23.24,22.72,1.00,1.98,0.0001
7.70,23.12,22.68,1.00,2.31,0.0010
7.74,23.15,22.77,1.00,3.60,0.0001
7.79,23.01,22.92,1.00,4.26,0.0007
7.84,22.58,22.65,1.00,0.24,0.0000
7.88,22.61,22.71,1.00,3.26,0.0008
7.93,22.51,22.87,1.00,4.32,0.0006
7.97,22.46,22.70,1.00,1.18,0.0002
8.02,22.56,22.90,1.00,4.65,0.0005
8.06,22.47,22.96,1.00,3.55,0.0005
8.10,22.74,23.04,1.00,3.78,0.0002
8.14,22.91,23.24,1.00,5.00,0.0008
8.18,23.13,23.25,1.00,3.33,0.0001
8.23,23.18,22.93,1.00,0.05,0.0001
8.27,22.94,22.79,1.00,1.51,0.0010
8.32,23.04,22.74,1.00,2.27,0.0008
8.35,23.44,22.86,1.00,4.01,0.0005
8.39,23.62,22.59,1.00,0.18,0.0002
8.43,23.79,22.48,1.00,1.41,0.0003
8.48,23.57,22.59,1.00,3.59,0.0001
8.52,23.61,22.46,1.00,1.30,0.0010
8.56,23.72,22.69,1.00,4.80,0.0003
8.60,23.80,22.81,1.00,3.91,0.0004
8.64,23.77,22.70,1.00,1.66,0.0006
8.69,23.70,22.78,1.00,3.50,0.0007
8.73,23.93,22.55,1.00,0.50,0.0004
8.76,24.08,22.55,1.00,2.50,0.0003
8.80,24.18,22.69,1.00,4.02,0.0001
8.84,24.36,22.91,1.00,4.86,0.0003
8.88,24.44,22.76,1.00,1.39,0.0004
8.93,24.02,22.70,1.00,2.14,0.0006
8.98,23.95,22.58,1.00,1.54,0.0010
9.01,24.17,22.46,1.00,1.40,0.0006
9.05,24.31,22.45,1.00,2.36,0.0003
9.09,24.54,22.49,1.00,2.84,0.0004
9.14,24.18,22.50,1.00,2.60,0.0001
9.18,24.15,29.78,0.50,0.31,0.0010
9.20,26.10,36.50,0.50,1.92,0.0001
9.23,27.94,42.55,0.50,1.98,0.0004
9.25,29.75,48.05,0.50,2.58,0.0001
9.27,31.23,53.04,0.50,3.00,0.0004
9.29,32.56,57.45,0.50,2.09,0.0002
9.32,32.90,61.20,0.50,0.00,0.0002
9.35,33.23,64.73,0.50,1.43,0.0004
9.37,33.75,67.82,0.50,0.67,0.0009
9.40,34.00,70.77,0.50,2.34,0.0003
9.43,34.42,73.32,0.50,1.29,0.0006
9.45,34.92,75.89,0.50,4.00,0.0010
9.48,34.82,77.87,0.50,0.66,0.0004
9.51,35.04,79.70,0.50,1.14,0.0001
9.54,34.65,81.72,0.50,4.90,0.0005
9.57,34.86,83.09,0.50,0.49,0.0000
9.59,35.35,84.35,0.50,0.66,0.0004
9.62,35.65,85.85,0.50,4.32,0.0002
9.64,36.25,87.21,0.50,4.51,0.0004
9.67,36.60,88.41,0.50,4.16,0.0004
9.70,36.60,89.56,0.50,4.98,0.0003
9.72,37.22,90.43,0.50,3.22,0.0007
9.75,37.16,91.35,0.50,4.68,0.0005
9.77,37.37,91.96,0.50,2.36,0.0004
9.80,37.36,92.67,0.50,4.12,0.0006
9.82,37.82,93.04,0.50,1.37,0.0007
9.84,38.55,93.37,0.50,1.29,0.0000
9.87,38.95,93.71,0.50,1.78,0.0008
9.89,39.10,94.03,0.50,1.94,0.0008
9.92,39.67,94.40,0.50,2.67,0.0004
9.94,39.96,94.50,0.50,0.42,0.0004
9.97,39.42,94.95,0.50,4.03,0.0006
9.99,39.87,95.27,0.50,3.17,0.0004
10.01,40.25,95.26,0.50,0.11,0.0001
10.04,40.67,95.72,0.50,4.89,0.0002
10.06,40.65,95.69,0.50,0.39,0.0001
10.09,40.72,95.74,0.50,1.23,0.0000
10.11,41.19,96.05,0.50,3.86,0.0001
10.13,41.68,96.03,0.50,0.85,0.0008
10.15,42.00,96.40,0.50,4.69,0.0009
10.18,41.51,96.40,0.50,1.45,0.0007
10.20,41.65,96.73,0.50,4.65,0.0001
10.22,41.80,96.95,0.50,3.97,0.0009
10.25,41.92,97.10,0.50,3.39,0.0009
10.27,42.32,97.38,0.50,4.95,0.0005
10.29,42.30,97.19,0.50,0.49,0.0002
10.32,42.64,97.20,0.50,2.25,0.0001
10.34,42.98,97.17,0.50,1.95,0.0000
10.36,43.01,97.28,0.50,3.20,0.0002
10.39,42.10,97.30,0.50,2.49,0.0007
10.41,42.39,97.33,0.50,2.60,0.0006
10.43,42.56,97.27,0.50,1.74,0.0004
10.46,42.59,97.08,0.50,0.39,0.0008
10.48,42.94,97.28,0.50,4.08,0.0002
